10000 30000
160 3242 36
3430 3215 22
9655 2231 80
4398 4790 100
707 476 55
1411 2000 10
2792 9470 58
7111 6590 6
5826 1571 1
3397 809 98
8882 8110 9
6660 7094 75
3799 8461 42
138 122 86
9448 2220 24
7656 6386 73
8341 2124 64
1870 7035 35
6713 3032 64
6251 2437 31
9426 9506 60
6850 4252 85
6166 2928 66
9764 7434 30
8082 6240 49
8763 1845 19
9394 843 81
9899 5355 93
4832 3623 2
8123 1949 18
9333 3848 58
8601 6579 38
2808 288 92
4553 332 14
2427 5871 77
4974 9886 3
6603 671 57
8469 5328 7
5863 8910 26
6242 1391 74
568 7025 9
179 508 60
712 271 54
7524 3976 35
295 8980 54
6657 7454 74
9726 2886 19
1203 193 85
369 8043 2
4782 2196 23
734 9711 33
8947 9098 61
1707 1333 62
1769 4779 58
783 7388 11
4005 31 79
7511 2348 27
7462 3963 94
6338 6291 99
8637 6170 86
3235 2206 66
6978 7708 11
8725 3653 48
4356 7597 41
9064 5484 51
1643 3195 4
1450 336 52
7741 3918 100
1927 8780 73
9546 3768 14
6498 1847 40
4238 1252 68
5232 7156 19
9981 7905 88
3788 9546 68
8258 53 95
3305 9394 78
5988 3984 74
1022 4894 93
1575 1657 48
2888 2533 13
6335 1494 88
9414 6923 6
6690 648 39
931 7181 76
4058 3900 96
8609 7121 74
1932 7941 58
3053 9701 62
5193 8012 78
29 8 4
8674 4401 71
8740 9458 13
3757 7761 46
1943 9746 4
3190 3911 80
3616 148 23
5477 6315 41
3000 4392 98
2687 4984 2
3263 2608 32
3450 2863 42
9268 9643 73
3044 4279 100
1367 3586 84
1643 3729 64
5163 591 30
8988 1234 72
7911 2764 10
2748 5121 98
5873 5107 84
359 5117 87
1749 7505 67
3045 2203 76
3983 2566 86
104 1957 36
4010 2258 63
1010 997 49
9431 3682 2
367 224 21
7755 9080 6
9539 6054 16
1597 1088 55
5102 2278 1
1730 6109 51
4298 3401 57
3273 2636 18
3393 3809 49
3149 2806 21
672 7874 37
8816 8731 3
6212 4596 44
4556 3778 33
7241 4222 95
3588 5045 30
235 41 84
5163 5867 7
9128 2708 8
976 1084 100
6839 6400 47
249 225 44
8435 8387 24
6831 7597 5
2522 766 31
6542 2103 39
4813 6402 38
2541 743 78
7228 401 21
9575 8474 85
9243 7647 37
6549 301 61
8124 9639 35
855 5639 82
1874 6349 78
879 6603 65
7757 2075 22
6705 5539 17
9284 9747 21
1138 139 98
9741 8259 62
1964 8619 84
2891 2069 35
63 37 46
3438 1144 14
9582 6654 59
259 4524 45
8269 3482 65
7695 3429 27
6385 235 60
6687 9416 11
2739 2526 74
8011 518 10
2167 8664 63
1646 2810 66
8409 6083 95
8593 2285 63
4597 1017 91
5181 1960 54
4535 7590 33
4351 1830 25
45 6354 70
7409 3119 51
1281 6936 14
7768 7032 70
3276 323 69
5983 3525 34
6052 4001 54
8965 222 8
7917 7850 39
2909 3823 55
3692 1666 30
9637 8109 12
4781 4676 91
6093 9611 60
6473 8404 94
6868 8949 38
2096 1529 76
6151 8525 54
3494 8384 60
7625 2257 54
2153 1835 54
3460 2789 62
278 273 68
9361 2115 73
3408 693 53
9623 6643 58
6983 5836 46
5133 5635 53
9166 3484 54
2542 3699 19
1678 102 66
4667 7768 68
8376 138 93
3198 1125 88
6877 5553 76
6849 2849 76
9061 1803 23
2471 756 54
3912 3191 6
3366 1959 34
5599 5472 43
3461 2216 45
7076 5363 81
8967 2003 55
3279 1388 14
590 303 83
2262 6459 55
5457 146 67
5879 5518 66
1596 1306 46
1963 2499 56
6641 966 80
7569 4668 79
4702 9777 9
334 14 66
6231 5144 78
2114 6587 59
9132 4298 39
6705 398 94
1850 562 75
7886 6022 17
690 409 77
263 26 9
697 9853 29
9640 8389 80
3586 9367 32
933 4052 4
9852 4457 38
1167 427 30
5715 2159 56
6109 2721 92
7258 4799 33
9196 3517 96
7390 7441 89
2932 6203 96
9372 3615 100
8348 2028 76
2120 3456 96
4178 2518 65
7956 3315 38
8133 1296 78
1036 6598 59
7492 629 74
7447 3292 31
4746 499 3
2771 6623 7
6925 1355 38
8264 3973 56
6845 5344 32
8829 3357 10
6038 92 95
8799 2567 5
8640 1709 56
844 2528 69
4843 7032 41
4601 2111 27
7010 3409 72
5815 8271 5
7451 6431 40
4168 4545 17
3018 973 40
813 37 67
4227 1926 60
7729 5549 5
7350 6704 50
8208 1439 72
3710 7349 99
6404 7053 2
1972 3879 66
7398 4566 97
96 2063 80
5608 4432 61
8191 3720 14
7533 8626 94
2166 1454 69
252 193 49
495 4799 63
2887 8266 30
4802 2391 67
7310 6741 98
9696 6182 65
2328 9627 20
6435 3375 26
275 22 64
5482 7286 99
3975 285 99
1236 6879 95
6772 8401 17
8351 8086 46
5287 4889 22
6984 1919 54
4857 1615 81
3486 2391 61
3206 6444 86
6182 8044 40
9472 2450 37
9268 8573 24
3568 2721 22
3434 7914 13
7563 1317 67
6343 5157 7
1504 3537 53
1664 1458 72
4206 2975 96
9704 2331 57
6074 2024 49
1684 6672 5
8804 7189 23
4850 4363 24
6546 2133 65
2944 230 76
9050 6380 92
1219 4323 4
4770 5687 38
697 2839 75
4461 2137 94
3901 7452 21
1404 4631 97
825 682 34
743 442 24
1354 1311 11
8572 8535 63
62 29 83
2097 1519 21
5872 4688 26
8970 9740 86
2074 370 85
2930 3445 64
9093 5922 9
4710 8381 83
9868 7343 69
1461 308 23
8351 7436 1
3282 460 62
2210 822 35
2584 5566 79
3804 1985 82
9938 8094 61
1858 1463 60
9144 1815 62
9552 4672 51
7439 3910 64
4086 640 12
4347 5514 43
9727 7274 57
5985 8131 47
8925 321 56
9798 4100 46
7170 7088 45
9093 2670 98
660 2923 68
279 9929 6
5548 6027 2
8538 7839 80
6247 1882 60
8750 8911 82
2548 592 9
8157 7067 2
2780 7408 16
6095 6958 81
3072 8464 88
4408 960 82
3581 1053 25
6741 4486 75
6313 4021 53
8361 5979 51
4717 1597 32
3367 1607 91
5746 707 94
377 6560 68
6015 5893 56
7344 1310 53
1109 124 55
8541 5734 3
8995 3108 99
4454 1197 96
2406 645 4
9813 9285 98
5601 1001 90
4497 2104 62
4886 8387 12
3561 7046 49
3046 3684 39
1949 994 93
3966 2604 47
6580 1246 79
9015 622 50
729 8247 99
8954 5675 79
7137 6355 66
4528 849 11
2519 5105 52
6923 6587 54
8960 5771 28
5694 9709 94
7879 7378 11
1711 4059 28
6183 4490 4
3381 3958 48
6004 7506 48
3834 1848 98
9646 6185 55
3866 4783 42
4771 1370 70
21 7714 17
5720 4899 20
798 10 45
4342 5847 55
9007 3217 39
8707 1514 80
7186 1478 54
7017 6590 62
6892 7402 65
9279 1967 31
4933 1608 80
9033 1367 70
9931 4235 72
4973 1614 87
1144 537 17
9953 2331 49
8309 4810 100
5666 4155 75
8473 6926 92
6079 5342 52
1876 41 88
7590 1152 95
1186 776 10
1025 335 99
5701 5384 22
3376 6055 92
8211 2464 19
8072 8136 12
3365 495 96
9149 6370 91
5095 6113 84
9451 5309 73
7328 4444 68
9423 7044 78
1402 2870 50
1524 4499 86
7116 8028 17
680 15 43
6302 4037 89
3237 364 6
2405 440 7
9036 4228 72
7294 1190 25
5933 7134 94
2007 1057 38
8381 7432 43
5632 3504 42
5829 3038 75
2417 1579 41
3915 6071 13
6851 1747 70
2954 1636 9
6619 5687 66
3721 1698 69
4185 6659 71
2390 8669 70
5173 6965 69
3328 1485 90
650 9938 8
984 311 16
8496 4942 67
5645 3539 58
3290 9738 66
4154 3370 50
1652 958 57
5415 6376 2
8782 9161 49
1191 900 35
2308 1657 62
7493 2030 48
8246 8707 28
39 8280 48
1280 1904 88
4220 6918 98
1129 1091 52
9099 2811 40
671 3487 99
277 2 37
7082 7480 50
8351 7682 50
2262 821 78
3561 2708 45
9229 4142 27
1534 5154 72
991 452 19
6925 3768 67
6560 3430 39
5895 3163 31
1088 261 58
5657 3746 17
6674 4394 72
6244 2461 13
5571 1703 24
2660 9246 70
4107 5164 31
6338 6190 40
2824 3484 27
7536 3185 23
8751 8377 88
3297 792 81
7938 7817 13
3400 1496 37
8392 1929 84
4475 2675 90
2495 1345 35
9499 1308 66
9751 4433 75
9245 53 75
9165 4800 94
31 5111 93
7025 8655 5
989 966 94
6107 4380 19
7214 345 18
4552 2052 72
2190 79 79
480 8680 13
9968 383 44
8602 5220 24
757 178 11
7342 759 27
3600 9264 33
7226 7106 62
4336 1327 17
3264 2210 67
5208 4571 92
7909 1920 94
4241 4939 18
6787 6738 51
6350 2791 77
3866 2873 22
4535 2612 14
535 3729 11
1643 806 71
2418 410 30
5899 6193 44
8333 4871 2
2358 4466 48
8572 1188 38
2918 6182 69
1093 6452 14
2003 891 18
9343 5463 99
4239 9102 20
6575 8569 23
990 921 35
893 18 10
7565 4987 50
1902 215 55
4858 2200 62
4476 2009 35
5665 1756 68
589 2057 92
1918 846 64
8396 3188 58
1517 943 75
9222 3695 31
712 7856 68
6943 5689 88
562 6074 83
9175 2189 82
8721 6665 53
1025 3084 13
9491 8687 12
7961 9002 42
1625 153 25
7523 8342 39
7916 7732 91
2820 3742 42
6343 3194 83
6293 4845 78
3856 2946 80
4522 8592 8
9108 2966 37
8105 5363 77
5274 9644 6
9421 7383 95
5433 3777 59
7805 9134 55
8235 1903 70
1649 1015 25
4671 170 100
4182 7955 27
4511 966 47
2375 6808 21
6820 1393 89
8686 1145 89
2136 1492 67
8264 2910 4
5036 5000 47
1272 8418 10
6558 6270 47
7228 69 62
7838 605 27
5698 9251 69
5858 5544 66
2546 826 20
8351 6810 49
5782 421 91
4345 4322 39
3190 9402 74
7745 5807 42
9816 9616 78
1528 4697 21
5907 1542 17
7024 3355 50
8360 2131 22
5917 245 33
571 9185 3
6040 1952 6
3147 2805 31
4391 4198 20
8578 6708 79
9882 3228 73
2322 5165 49
6393 1383 14
5779 3864 6
4661 1639 61
4449 5770 23
541 7024 96
7984 6160 74
903 869 75
5409 4049 60
7410 5544 32
7550 1280 72
8409 1347 23
5367 5346 53
4541 2052 34
8138 6480 1
1480 5198 13
8742 6533 89
1043 4455 100
2476 6445 27
1091 9373 12
4227 9684 26
7364 2759 42
6428 1007 49
1896 163 45
7721 67 91
7645 3700 84
6328 4317 81
9217 1839 29
1811 421 4
3577 9244 66
5671 3359 55
6516 3595 51
271 202 72
2801 1671 58
1892 734 59
1261 1220 4
5160 7521 64
164 6578 39
536 4109 17
4721 8262 46
7933 3115 19
9305 648 10
3273 194 82
4895 9624 70
2966 731 28
5736 2078 25
3473 1193 40
9069 2418 18
9853 7872 9
7412 3460 6
6466 4770 42
1597 1575 31
3444 1339 15
4779 577 96
7019 1135 83
5863 4796 83
4719 2933 35
2017 702 45
1106 1291 95
4376 7330 98
7575 763 83
4910 2691 34
8940 5654 62
1422 586 21
3599 7796 5
9848 8484 99
5315 1097 5
3242 8862 68
1451 5256 93
3780 3332 26
2003 4410 18
9414 4018 39
1071 5114 54
9018 6375 15
2923 705 23
5117 4722 29
5949 4234 69
1635 2654 55
8326 1844 93
5979 5745 15
9448 2847 12
4315 3919 85
9317 1858 41
3286 2278 26
5353 616 20
5373 4342 47
6177 2079 25
1513 939 49
4927 4897 5
4610 8200 91
3548 568 29
2917 7065 10
2460 6305 87
7461 620 85
3488 2089 7
261 76 100
8772 7319 39
2014 2259 74
5004 1863 93
413 1711 64
6896 2470 28
2672 1318 93
8691 6332 67
8089 1085 52
2351 1182 53
4991 5711 62
8653 7347 33
6730 7984 76
1981 6848 17
5940 853 51
6590 8195 55
6433 3328 11
2367 4928 1
9005 9568 43
1956 1187 92
1508 4216 52
4969 401 99
2359 8298 71
4355 18 85
417 156 48
6175 8442 68
9204 1302 77
528 341 41
3083 1152 45
4142 9818 60
4670 7119 94
7962 1016 27
6554 2161 85
3068 1288 51
986 9773 62
5904 945 26
1152 333 21
8030 4464 67
4389 280 45
274 5816 31
4586 92 39
990 4295 57
8288 7306 20
8246 8807 10
4784 3952 98
8091 4852 37
1616 168 31
2892 1847 39
1742 9086 70
7966 3517 77
4126 6974 91
9544 2424 11
6179 9719 52
6637 1024 9
9106 7931 63
3923 871 68
1426 205 21
2487 3520 64
9110 8747 87
508 6383 83
7732 3422 23
8989 1944 82
9245 1876 73
8818 7089 67
1884 6564 31
2275 1034 44
862 416 42
890 669 62
6610 6441 94
8629 1182 50
5214 4332 78
5591 7626 80
3890 3883 8
1922 8085 75
4944 6802 1
743 4784 37
7580 786 84
5004 1516 12
6198 1445 90
1646 9798 48
2643 5373 7
977 314 36
1965 1304 17
3429 2625 1
7330 3465 89
9610 6504 27
4836 7324 43
7003 1427 59
1264 900 48
9242 6094 10
5014 9622 35
2015 3588 41
8126 7436 40
1651 367 30
2443 7314 52
3638 6157 78
9546 2611 31
8714 2627 56
962 582 29
2783 7710 23
1126 864 94
4511 807 82
2978 1290 82
3073 1622 26
4749 7313 48
9978 5359 67
3858 3481 93
2154 1598 45
7393 8222 41
3059 5762 22
1418 888 73
57 6121 8
8050 2281 44
8044 2437 51
3127 102 63
3037 4057 15
5171 5758 71
1842 7915 64
4339 2898 36
7069 1275 67
8241 4586 65
6532 9370 22
6003 1661 47
6445 6969 73
9799 6746 43
4966 723 99
9615 4786 19
4080 8655 33
9665 4471 88
9095 8482 11
4663 4135 62
5093 2394 83
2121 2220 79
4618 8249 75
9718 7986 5
604 3582 67
9724 1612 2
7881 2879 65
2728 1179 62
916 2066 91
9433 2055 88
2497 960 74
4840 2024 4
5107 2847 44
302 2148 50
9099 127 91
5808 321 96
2014 6917 31
6615 2426 59
8445 6105 5
9997 1958 71
5643 5616 42
5793 529 6
4254 4038 75
905 7749 32
7017 9640 50
8487 7021 77
271 3189 9
5117 7853 9
1129 8914 94
6102 7627 12
8231 6255 77
4862 42 7
4208 3601 40
3048 326 42
1830 804 30
5988 2573 54
3278 2361 27
5546 5253 27
8879 244 100
3335 2722 68
2607 2443 64
3753 2948 75
382 2214 9
7200 1505 22
2441 6513 51
1821 7363 91
5273 9951 16
7123 5516 82
5565 48 76
3275 297 89
7093 3903 98
3327 2616 57
9552 8754 75
5612 2350 3
3552 281 90
3660 8912 31
9086 5291 36
1036 5810 88
4706 7915 3
7323 152 22
3521 2360 65
9842 7497 65
5978 7920 68
6051 4540 47
2294 1403 46
6503 9998 54
2211 2508 96
7884 8306 62
7987 7340 43
8078 4241 94
3768 5945 3
9463 6619 38
2730 9877 17
9109 2606 29
9817 4801 64
3618 9344 90
8672 1641 5
7158 2542 90
6307 4056 82
8245 4149 41
5225 5132 64
6283 3879 73
7547 7662 1
3464 334 67
1392 408 72
5644 8102 11
815 1148 6
5763 4621 29
6516 2719 46
7613 4573 49
1732 41 56
3683 3401 33
3369 3073 22
2951 2581 68
4627 1690 63
3611 1929 78
6249 590 48
8389 824 49
2668 9188 98
8303 9733 86
200 137 47
473 215 43
6588 4856 88
8349 7681 27
6740 7322 47
8526 7883 90
3608 767 12
1992 2874 25
5917 1219 41
6657 6087 80
6272 1021 16
7254 3877 97
4839 6472 34
4666 150 98
6797 6624 59
7490 752 26
6893 2796 92
2481 1828 33
2411 4115 71
1091 4200 11
9429 486 12
5499 2205 40
222 3156 4
4720 2814 84
8327 4559 31
3213 2138 41
3803 297 19
8808 6614 46
6137 4040 63
8057 5204 63
2587 1691 100
4504 6213 61
6347 4134 74
507 871 89
2936 49 79
4146 1861 5
6611 3248 21
6019 2859 71
5721 4202 92
4227 5724 100
7430 1851 12
7695 3764 69
5173 3677 94
8124 8694 82
7352 4097 84
3666 6750 44
2553 1746 85
9376 4136 63
8863 9907 35
6857 2145 80
4563 3312 20
6696 2880 71
9181 8528 64
9980 5057 13
476 6014 9
9382 7617 14
7381 6111 59
624 8339 42
151 8345 44
9727 1668 66
9238 4477 22
32 5874 76
7290 9160 49
6600 1065 84
2886 1877 93
779 6193 6
8625 2733 81
697 7115 80
3237 4563 92
550 99 53
1273 64 29
7507 306 64
1879 1506 41
1529 8757 50
4801 8277 78
1349 6447 35
8516 4741 38
4353 632 54
7245 1983 50
8408 3233 68
9607 2689 81
2702 8951 20
2001 2603 86
728 557 81
8295 4012 46
3395 4182 98
8270 4403 41
936 5925 82
5790 1632 17
6061 2187 89
1635 2805 7
6540 4805 55
1430 8412 60
9328 9338 54
3767 814 68
2115 621 77
9197 9070 68
8818 9512 96
2748 1598 30
9439 3636 79
1362 901 18
9107 7286 27
2785 2291 98
2370 381 1
6708 4073 1
4495 7227 53
5694 148 47
2503 5812 50
4959 4542 18
9002 2979 9
2497 7056 64
2670 4740 94
6544 6992 1
3523 6788 38
550 6041 6
4270 7300 80
145 4099 52
8323 1818 74
2481 7239 9
6915 1455 25
9180 5056 19
8842 5064 77
8836 5219 71
2788 9977 2
704 7407 9
2495 2501 4
4186 3040 40
2133 2926 68
3008 9421 95
6205 1803 22
3865 4453 55
6120 3544 62
3948 2206 56
6861 5819 29
9698 1691 82
3193 3303 59
3364 1900 2
3310 5194 9
1980 1581 79
5150 9334 89
756 3025 49
2604 2424 82
7342 3558 88
3939 708 2
7265 8196 6
5603 3187 16
2969 2511 76
3971 9031 57
5341 2134 71
2602 5087 53
7488 1338 71
1258 1889 44
3368 8522 61
658 4069 39
71 5762 75
407 9841 30
5652 547 86
7601 7569 38
1361 967 99
3650 7399 91
509 9934 18
5940 1169 64
5222 3370 2
1165 1060 7
8641 6700 84
4809 4870 51
9336 4165 31
9959 1824 69
3783 2659 48
1460 1420 81
3885 4783 93
4792 2441 67
8457 5771 2
3084 4126 59
8822 7276 20
1961 8923 49
5960 2760 31
3756 6115 57
586 7226 54
7230 3346 82
2447 1762 44
8756 1326 79
7679 7290 22
8042 4408 55
5511 558 63
1946 5405 40
1366 3456 10
7115 1393 44
54 30 22
2592 1120 28
4154 6206 73
2251 360 16
9742 4431 98
1264 2311 70
8108 6408 54
6022 6096 4
354 1438 7
3667 9373 26
1443 3133 25
7390 5371 62
8516 7414 73
4448 596 24
6259 7803 37
4680 3248 64
7075 1227 48
3087 2298 89
1870 3263 94
4100 3739 44
146 44 45
3520 7453 54
7662 1037 13
3124 2525 41
402 3749 82
378 3583 6
9462 4385 62
5339 3068 42
1091 4832 59
5069 4318 76
6100 3449 12
104 5547 20
2793 162 81
4326 9639 35
384 5042 97
7902 3581 69
8015 804 88
7970 5486 92
2206 6683 75
139 99 27
5724 323 78
9605 8423 39
9426 3094 82
6352 4423 93
7966 8 44
5109 4059 82
7234 7302 74
9382 5640 57
8982 8770 21
340 52 18
6522 3490 15
3193 3045 35
1130 387 20
3528 611 94
1040 2672 26
6596 3438 43
2462 8733 26
1348 6256 62
2418 2027 73
3503 8077 2
5132 2722 4
7184 5467 35
7883 1590 40
6437 2167 61
8890 1329 10
9310 515 6
3991 2712 88
4973 3790 93
255 4449 77
7267 5585 76
1009 793 80
3790 3259 61
796 9924 6
4711 2549 60
9732 5297 8
5309 9515 40
8540 6756 45
1297 188 19
6966 6738 10
8546 4055 93
5198 4603 81
6195 5515 51
831 33 92
4335 8609 99
3773 1779 5
6608 8885 24
3231 4787 57
7437 101 12
6588 4759 50
5764 671 27
3395 964 58
8276 6778 36
2691 9532 87
3175 2500 64
4623 2889 40
8625 4262 94
7242 4009 7
6852 337 5
3708 7774 89
575 1356 73
5121 1490 24
7867 5176 37
3012 3011 44
4882 344 93
6787 3592 79
4241 7209 66
215 91 18
9886 4840 54
2010 738 7
3914 6213 55
6495 4317 86
6728 1471 45
3388 1617 50
1842 1575 5
2345 6060 21
6774 111 84
5791 1989 9
7938 2186 70
2853 5735 41
5124 6539 44
5104 3917 45
7490 6201 91
3159 1816 4
2340 990 13
9561 1727 43
5310 9765 46
272 1732 35
6727 3501 21
9947 3024 54
4097 1752 92
9428 2563 75
6197 4035 17
7253 1579 22
1647 959 93
2544 8006 60
8498 7992 96
8393 6863 6
1982 1513 60
1185 8139 10
1456 1076 71
8486 1784 90
586 541 25
6995 9732 43
356 823 72
3692 4639 88
5831 1321 64
5816 1614 11
5298 2972 23
6365 1569 7
976 9328 42
3686 1275 16
4867 4648 83
8072 3262 23
4818 270 83
2659 2483 54
6556 8198 68
3004 1783 85
7771 9968 91
5226 9353 83
1827 1790 67
7101 1872 91
1707 3036 55
1004 859 72
5799 9750 37
3843 2112 52
4763 1878 20
9222 5337 68
6095 9956 56
4520 7572 15
7326 112 11
9182 109 58
4230 9739 11
3692 305 74
4475 7686 6
237 8686 7
7585 447 66
8272 5401 3
4203 774 82
8735 9126 97
7871 3470 95
4481 3522 30
6798 1005 85
1496 8968 39
1937 4064 58
7794 8067 100
5844 1323 64
9032 939 57
8735 208 44
7661 7358 95
677 4161 62
6684 3230 73
3583 4601 84
1738 971 99
4072 6915 4
4622 3798 35
366 24 84
5123 4593 99
6661 6385 23
384 6347 49
3863 7600 18
7421 8260 64
18 15 44
9954 4708 91
2158 7594 89
603 2761 56
7631 557 6
6999 56 50
9961 1765 7
3600 71 95
3000 689 70
9532 8301 46
272 6693 51
9600 738 43
3097 2856 42
338 39 54
9175 8478 64
9656 7321 68
9434 5104 86
7936 1864 50
4282 8277 32
5511 6217 61
2997 74 62
7160 2309 20
4947 3771 13
431 3291 72
1722 1241 54
5463 142 23
95 5915 45
919 515 1
788 354 61
8681 8752 83
4054 7436 99
7967 3735 81
2484 5335 48
8951 6616 83
1696 4384 11
7296 9149 93
8936 1360 42
1414 5649 94
2908 3865 19
7113 2135 50
5147 2885 86
9014 3027 99
7702 5541 59
5743 1577 62
4579 1934 56
6690 2497 1
1520 7323 68
9590 4665 53
7608 8701 34
4674 2527 54
7765 4073 77
775 3213 66
4793 425 16
7470 3393 7
7663 6418 22
9737 2734 30
2995 9793 60
9563 1161 60
3125 2801 39
23 4833 46
6743 5079 39
799 461 83
1599 972 11
6455 9419 61
4486 2850 32
997 469 44
880 6504 80
739 339 26
4359 6329 20
44 1834 6
6834 9560 49
8624 929 71
2039 1143 62
627 6963 66
3932 4816 67
2786 9782 39
9859 2929 44
6103 6519 71
5965 259 4
5581 4605 43
6529 1939 90
19 8065 54
7408 312 55
6388 2753 79
6795 5945 37
9632 2193 90
4099 5261 98
1489 586 96
4400 5623 87
3391 1026 99
7508 998 92
4637 9407 48
4488 6921 58
3640 5459 96
2782 1825 13
6518 1848 81
6098 9442 68
9656 34 37
9229 1223 52
9990 8748 97
6287 715 93
7779 2115 89
7799 6116 87
9768 2635 34
8088 6078 14
8365 6927 64
143 97 74
2737 1360 55
8175 4932 35
2339 2594 87
8397 1930 37
6811 6565 18
9648 9323 32
6962 7478 58
7486 5123 99
8948 5719 24
5543 1742 93
302 5520 48
2512 2380 47
8705 5639 4
4382 3582 74
2859 4723 99
1076 5666 15
7990 7323 50
9713 5890 80
441 8121 34
2831 7597 67
9200 4812 37
7203 4049 25
2245 2086 88
410 193 67
1821 8763 95
8195 8286 100
7746 3008 37
7176 4572 39
4704 8575 52
5017 1140 22
2675 238 33
3130 6254 79
5566 411 2
6638 838 1
6445 7681 49
9759 9632 98
3237 5551 51
534 461 34
5862 257 18
6276 8549 66
394 6487 67
1225 6740 35
4053 2561 79
4944 3162 16
8950 7429 21
3094 8950 90
4606 2337 58
9975 9067 12
1049 80 34
8528 7757 43
4466 2074 15
8916 4969 34
1695 1764 10
7265 2579 92
2646 1632 88
3102 2718 48
7647 9513 26
3441 77 69
151 4702 15
5756 5895 31
6735 433 70
6932 1156 35
1363 2384 78
4556 37 13
8729 4356 99
4985 965 74
8892 7741 17
8538 6726 95
4603 4600 76
9413 856 99
447 5754 8
6746 6689 12
8516 3362 32
7610 2067 15
4856 6771 84
1246 8996 77
3234 1498 93
7094 1733 29
3303 4085 79
1054 1479 7
7468 1327 35
8726 4194 35
7566 1017 52
2156 4063 71
3955 2985 25
5771 3454 55
858 3042 72
3248 8935 89
3462 1312 34
718 464 64
5288 2151 17
1081 8294 64
8944 5668 40
1576 745 10
3520 7635 28
8727 3737 99
9106 1195 55
5743 322 71
3896 1942 77
8604 5557 36
6031 68 38
7199 4992 5
4375 1902 83
1128 746 81
4568 1168 61
3474 5025 76
1550 7829 47
419 386 19
7762 3987 73
5696 5198 59
948 1767 22
9444 3700 73
9546 4241 34
2253 3195 46
3346 3064 84
4381 951 39
8310 7564 75
5064 8272 96
2992 4481 23
8584 8800 46
6042 1511 19
245 2986 53
7659 1856 42
982 125 94
9275 8541 34
987 707 2
7174 1389 57
5250 3770 57
5173 8321 26
9694 4496 32
8553 9009 57
8192 5733 7
9394 9376 25
6007 2533 55
1245 9347 68
3999 3755 76
279 4677 28
978 391 13
4763 2074 8
2381 5123 7
4619 1249 5
112 22 23
4530 2969 47
3986 4962 42
9366 3884 56
8545 382 77
9811 3893 41
9202 8427 65
6479 2389 21
6442 7916 43
5684 3748 81
8365 8973 52
8205 3238 65
7780 6299 68
3733 390 34
689 662 74
933 8791 98
8752 3509 23
5949 3193 44
9915 788 52
8066 7198 62
324 60 14
2998 907 8
7338 6360 83
8022 6500 80
5369 7772 8
4088 2344 71
270 3088 52
4659 9441 72
593 5113 10
3232 3781 79
3061 3613 66
3876 3274 82
9876 8136 79
6709 2781 88
9783 4692 93
6860 6769 79
9476 5181 83
1352 4258 86
4531 4213 73
4357 8209 22
7629 2879 51
8116 6448 93
7593 9523 20
3553 269 68
6617 860 12
5621 2553 10
2955 1155 40
5275 3472 38
1142 1118 24
5275 8344 97
1212 6786 75
6491 8965 93
5032 1030 47
9987 7380 68
5911 9109 62
171 84 61
1971 1514 47
9236 1320 54
6174 3582 24
1003 2506 27
9839 9384 41
4265 764 22
3877 3850 44
5433 615 48
2710 3441 1
4174 1112 45
933 840 53
5957 2237 42
7936 3905 92
3431 2809 69
7098 4140 41
6453 1752 18
3281 2100 45
2047 7278 58
4966 1523 96
1358 9527 48
6004 3212 68
152 138 31
1556 9561 85
3424 2447 22
6884 3764 68
9541 3270 13
6022 898 73
1837 1317 57
5466 3831 3
1670 300 47
9505 9495 53
361 8869 15
8992 2383 6
2859 9517 3
6091 5605 2
7438 570 29
998 330 20
7169 2376 91
900 656 27
4845 9338 65
3212 1937 14
6550 6500 63
9338 4703 80
1569 645 81
7547 6517 61
5771 2476 13
5466 4328 42
9402 3078 39
9496 5950 35
3822 1775 37
6597 5835 84
4875 2071 18
467 131 65
9017 1320 69
123 73 6
8711 5764 4
8448 708 54
1056 4316 78
5961 5923 77
9251 2998 85
3627 9825 11
8693 4031 36
7088 5249 54
4919 8082 86
1797 297 56
667 10 58
2359 949 70
7539 4322 67
4414 9830 32
6604 4935 53
7467 4468 5
8607 8538 82
6012 713 27
4473 6280 48
5597 9576 67
6812 1268 23
2931 3949 17
1013 3845 61
6288 7286 7
8785 1500 31
5971 3176 82
913 482 27
3525 7729 24
8565 3240 65
7592 9234 18
5128 9173 99
4757 2105 25
953 582 63
986 7661 37
2103 718 92
8718 2988 35
7218 9918 93
2003 1870 9
5272 9930 25
2580 4512 25
2148 999 33
2511 40 73
5852 4727 83
2928 2792 38
8759 1226 88
8616 5537 99
7021 5817 62
7703 1210 23
1915 5002 45
6533 7521 15
990 4122 61
6005 5248 8
8113 3776 42
2709 3759 33
1994 1463 11
7288 6204 23
2176 2130 41
3011 8481 47
9584 7529 4
3506 2166 92
9433 9830 12
2278 6693 79
2175 1252 82
9074 4550 74
6551 4202 34
1521 435 64
4711 4426 97
6503 6486 15
3115 4875 8
5331 4469 10
5561 8051 75
9376 4589 85
1595 7766 18
6721 4760 11
7061 3400 68
3775 1479 82
9554 3594 47
486 169 44
9237 7710 21
9960 9294 43
3785 2250 20
5785 5471 42
2879 4215 100
7460 2725 94
3410 6738 4
192 150 84
1394 816 40
9527 3224 77
8312 5561 59
4795 2316 55
2208 3744 22
4609 9334 10
3329 9867 78
3415 14 10
5338 7861 12
4868 3853 8
7141 3002 13
6818 2295 80
7306 1109 4
7348 5546 37
